month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2022-03	1.1	-86.25	
2022-04	1.1	-86.28	
2022-05	1.19	-73.07	
2022-06	1.33	-63.05	
2022-07	1.03	-85.33	
2022-08	0.95	-88.66	
2022-09	0.82	-97.11	
2022-10	0.69	-98.83	
2022-11	0.72	-88.56	
2022-12	0.75	-78.61	
2023-01	0.81	-63.22	
2023-02	0.98	-26.87	
2023-03	1.01	-2.37	
2023-04	0.93	-4.84	
2023-05	0.88	-18.35	
2023-06	0.9	-16.79	
2023-07	1	26.62	
2023-08	1.05	47.71	
2023-09	1.17	70.53	
2023-10	1.16	77.05	
2023-11	1.19	81.94	
2023-12	1.09	56.08	
2024-01	1.14	61.85	
2024-02	1.27	87.63	
2024-03	1.33	93.96	
2024-04	1.45	97.41	
2024-05	1.74	95	
2024-06	1.64	84.63	
2024-07	1.37	54.46	
2024-08	1.19	11.65	
2024-09	1.33	15.51	
2024-10	1.5	49.16	
2024-11	1.24	-2.68	
2024-12	1.25	-27.03	
2025-01	1.31	-19.84	
